subject,story_id,noise_condition,recall_index,recall_events,random_events,diagonal_score,reversed_score,event_number
1,1,clear,13,0.2643319866578554,0.11670712986020658,0.1425090758854499,0.11235778706892346,1
1,1,clear,13,0.20376712860323087,0.1089515567098396,0.102327469731485,0.11098480478145632,2
1,1,clear,2,0.48204260545465927,0.13293882995238704,0.2720920789809743,0.22783019040066357,3
1,1,clear,3,0.431321751372398,0.14597080276964464,0.2544788822179313,0.19960960814829307,4
1,1,clear,3,0.26636502881987867,0.13203099750232644,0.2133402443828663,0.2805987727217143,5
1,1,clear,4,0.30747844881226116,0.13855734730442917,0.16361364579729587,0.21381119976863416,6
1,1,clear,5,0.3765111479942496,0.15923363183835462,0.27028917972390193,0.19665511739183733,7
1,1,clear,2,0.37042038942870775,0.16600418400587996,0.15463358807845165,0.00964639237267773,8
1,1,clear,8,0.32290118615607355,0.10092461684617209,0.14275864246425551,0.12039840773749286,9
1,1,clear,9,0.2729739784086733,0.09245919731943895,0.1637407689333869,0.13734464080922856,10
1,1,clear,10,0.2944549156782745,0.12508762620795866,0.2693778289920565,0.2693778289920565,11
1,1,clear,13,0.29334988013509455,0.13491106330732114,0.26046829266628896,0.18919628130026123,12
1,1,clear,13,0.3084798942751229,0.16205365932592242,0.3084798942751229,0.09152960164388356,13
1,1,clear,13,0.3574499690226375,0.16735866030034308,0.2137687496296484,0.04158163384928096,14
1,1,clear,13,0.3306924690362274,0.1494441536267405,0.1332609580468181,0.16365440113705942,15
1,1,clear,13,0.2806730282393572,0.13566175224768154,0.07158668187603529,0.10189935348625778,16
1,1,clear,15,0.4346640187629212,0.1401072818217347,0.1369039844098416,0.03350830910467458,17
1,1,clear,15,0.304159242796583,0.15213748408255778,0.06989177732954274,-0.00270484381908854,18
1,1,clear,19,0.4730459844633514,0.15684861314054627,0.4730459844633514,0.14197808948996293,19
1,1,clear,20,0.31417720945161237,0.10858272274402464,0.31417720945161237,0.07812507679416211,20
1,1,clear,21,0.24437499687542164,0.1148306206990922,0.24437499687542164,0.00183420490068661,21
1,2,+2SNR,1,0.46325856267739163,0.12092296452579088,0.46325856267739163,0.34138478588219245,1
1,2,+2SNR,2,0.5831516890923145,0.1874637549103485,0.5831516890923145,0.12162261618847334,2
1,2,+2SNR,2,0.6330189159367648,0.13951701350966372,0.6062583564072456,0.22792331771428748,3
1,2,+2SNR,3,0.5266534981868282,0.18014585183467563,0.2863277378092071,0.24240092938326344,4
1,2,+2SNR,4,0.38481916482163114,0.18845509624561324,0.2865076930449587,0.19981250049517893,5
1,2,+2SNR,2,0.26685635531506025,0.18517727639367543,0.2137437065507992,0.2431808977242016,6
1,2,+2SNR,2,0.6240566681048596,0.12942518986131268,0.19159646404824843,0.19159646404824843,7
1,2,+2SNR,8,0.3481946711263582,0.23330679720475592,0.3481946711263582,0.19444559298448089,8
1,2,+2SNR,8,0.2954265190769336,0.19165143753408712,0.2193144489692796,0.13742042199369167,9
1,2,+2SNR,7,0.5360147836772297,0.1925402689824403,0.17021333078921397,0.04583425078986538,10
1,2,+2SNR,8,0.4080814124241936,0.18105839484136496,0.18923491442867793,0.23241741323144527,11
1,2,+2SNR,10,0.3926010665714163,0.20640673012713867,0.08377360242897373,0.1249280202393937,12
1,2,+2SNR,12,0.4351782916524716,0.23010063787561283,0.3780991186475144,0.02494180547082491,13
1,3,-4SNR,1,0.35398514189109564,0.15409663583757727,0.35398514189109564,0.16310706339590886,1
1,3,-4SNR,1,0.26815378458469574,0.15491312634964804,0.25130658195162814,0.14301555970227486,2
1,3,-4SNR,2,0.17272775361401133,0.20925650246598443,0.11160251088286686,0.10321599553013935,3
